,embed,elastic,process,process + network
count,55.0,55.0,55.0,55.0
mean,0.07192545454545454,0.45930909090909094,0.5457363636363636,0.6275974837216464
std,0.01849149171898433,0.08702785265676236,0.0861896216224487,0.08611097077856698
min,0.0478,0.35,0.4183,0.4992959499359131
25%,0.05935,0.392,0.47505,0.5623245239257812
50%,0.0657,0.427,0.521,0.6018266677856445
75%,0.0819,0.528,0.60625,0.6881890296936035
max,0.1264,0.696,0.7793,0.8595747947692871
