,embed,elastic,process,process + network
count,55.0,55.0,55.0,55.0
mean,0.08810363636363634,0.45456363636363645,0.00554,0.08830407749522816
std,0.061813818315002475,0.0794918499517668,0.0007405203375805223,0.003797616524429726
min,0.0413,0.357,0.0048,0.07939624786376953
25%,0.0519,0.3885,0.0051,0.08567488193511963
50%,0.0646,0.419,0.0052,0.08854484558105469
75%,0.08505,0.5375000000000001,0.0056,0.08973550796508789
max,0.2901,0.588,0.0079,0.10034370422363281
