,embed,elastic,process,process + network
count,55.0,55.0,55.0,55.0
mean,0.08473999999999997,0.43221818181818183,0.5341636363636363,0.6200503609397194
std,0.04545828612890919,0.06606665851247032,0.07352008131729967,0.07402013987663941
min,0.0412,0.335,0.387,0.4709029197692871
25%,0.0524,0.386,0.47509999999999997,0.5626145601272583
50%,0.0642,0.411,0.5284,0.6167569160461426
75%,0.1071,0.4685,0.5923,0.6745518445968628
max,0.2312,0.579,0.7191,0.8014011383056641
